ctr,country,pdi,idv,mas,uai,ltowvs,ivr,Country_Code
AFE,Africa East,64,27,41,52,32,40,NA
AFW,Africa West,77,20,46,54,9,78,NA
ALB,Albania,NA,NA,NA,NA,61.46095718,14.50892857,ALB
ALG,Algeria,NA,NA,NA,NA,25.94458438,32.36607143,DZA
AND,Andorra,NA,NA,NA,NA,NA,65,AND
ARA,Arab countries,80,38,53,68,23,34,NA
ARG,Argentina,49,46,56,86,20.40302267,61.83035714,ARG
ARM,Armenia,NA,NA,NA,NA,60.95717884,NA,ARM
AUL,Australia,38,90,61,51,21.15869018,71.42857143,AUS
AUT,Austria,11,55,79,70,60.4534005,62.72321429,AUT
AZE,Azerbaijan,NA,NA,NA,NA,60.70528967,21.65178571,AZE
BAN,Bangladesh,80,20,55,60,47.10327456,19.64285714,BGD
BLR,Belarus,NA,NA,NA,NA,80.85642317,14.95535714,BLR
BEL,Belgium,65,75,54,94,81.86397985,56.69642857,BEL
BEF,Belgium French,67,72,60,93,NA,NA,NA
BEN,Belgium Netherl,61,78,43,97,NA,NA,NA
BOS,Bosnia,NA,NA,NA,NA,69.77329975,44.19642857,BIH
BRA,Brazil,69,38,49,76,43.82871537,59.15178571,BRA
BUL,Bulgaria,70,30,40,85,69.01763224,15.84821429,BGR
BUF,Burkina Faso,NA,NA,NA,NA,27.4559194,18.08035714,BFA
CAN,Canada,39,80,52,48,36.02015113,68.30357143,CAN
CAF,Canada French,54,73,45,60,NA,NA,NA
CHL,Chile,63,23,28,86,30.98236776,68,CHL
CHI,China,80,20,66,30,87.40554156,23.66071429,CHN
COL,Colombia,67,13,64,80,13.09823678,83.03571429,COL
COS,Costa Rica,35,15,21,86,NA,NA,CRI
CRO,Croatia,73,33,40,80,58.43828715,33.25892857,HRV
CYP,Cyprus,NA,NA,NA,NA,NA,69.86607143,CYP
CZE,Czech Rep,57,58,57,74,70.02518892,29.46428571,CZE
DEN,Denmark,18,74,16,23,34.76070529,69.64285714,DNK
DOM,Dominican Rep,NA,NA,NA,NA,13.09823678,54.24107143,NA
ECA,Ecuador,78,8,63,67,NA,NA,ECU
EGY,Egypt,NA,NA,NA,NA,6.801007557,4.241071429,EGY
ETH,Ethiopia,NA,NA,NA,NA,NA,46,ETH
SAL,El Salvador,66,19,40,94,19.64735516,88.83928571,SLV
EST,Estonia,40,60,30,60,82.11586902,16.29464286,EST
FIN,Finland,33,63,26,59,38.28715365,57.36607143,FIN
FRA,France,68,71,43,86,63.47607053,47.76785714,FRA
GEO,Georgia,NA,NA,NA,NA,38.28715365,31.91964286,GEO
GER,Germany,35,67,66,65,82.87153652,40.40178571,DEU
GEE,Germany East,NA,NA,NA,NA,77.83375315,34.15178571,NA
GHA,Ghana,NA,NA,NA,NA,3.526448363,72.32142857,GHA
GBR,Great Britain,35,89,66,35,51.13350126,69.41964286,GBR
GRE,Greece,60,35,57,112,45.34005038,49.55357143,GRC
GUA,Guatemala,95,6,37,101,NA,NA,GTM
HOK,Hong Kong,68,25,57,29,60.95717884,16.96428571,HKG
HUN,Hungary,46,80,88,82,58.18639798,31.47321429,HUN
ICE,Iceland,NA,NA,NA,NA,27.95969773,66.74107143,ISL
IND,India,77,48,56,40,50.88161209,26.11607143,IND
IDO,Indonesia,78,14,46,48,61.96473552,37.72321429,IDN
IRA,Iran,58,41,43,59,13.60201511,40.40178571,IRN
IRQ,Iraq,NA,NA,NA,NA,24.93702771,16.74107143,IRQ
IRE,Ireland,28,70,68,35,24.43324937,64.95535714,IRL
ISR,Israel,13,54,47,81,37.53148615,NA,ISR
ITA,Italy,50,76,70,75,61.46095718,29.6875,ITA
JAM,Jamaica,45,39,68,13,NA,NA,JAM
JPN,Japan,54,46,95,92,87.9093199,41.74107143,JPN
JOR,Jordan,NA,NA,NA,NA,16.1209068,43.08035714,JOR
KOR,Korea South,60,18,39,85,100,29.46428571,KOR
KYR,Kyrgyz Rep,NA,NA,NA,NA,65.99496222,39.28571429,KGZ
LAT,Latvia,44,70,9,63,68.76574307,12.94642857,LVA
LIT,Lithuania,42,60,19,65,81.86397985,15.625,LTU
LUX,Luxembourg,40,60,50,70,63.97984887,56.02678571,LUX
MAC,Macedonia Rep,NA,NA,NA,NA,61.71284635,35.26785714,MKD
MAL,Malaysia,104,26,50,36,40.80604534,57.14285714,MYS
MLI,Mali,NA,NA,NA,NA,20.1511335,42.63392857,MLI
MLT,Malta,56,59,47,96,47.10327456,65.625,MLT
MEX,Mexico,81,30,69,82,24.1813602,97.32142857,MEX
MOL,Moldova,NA,NA,NA,NA,71.03274559,19.19642857,MDA
MNG,Montenegro,NA,NA,NA,NA,75.31486146,19.86607143,MNE
MOR,Morocco,70,46,53,68,14.10579345,25.44642857,MAR
NET,Netherlands,38,80,14,53,67.00251889,68.30357143,NLD
NZL,New Zealand,22,79,58,49,32.74559194,74.55357143,NZL
NIG,Nigeria,NA,NA,NA,NA,12.84634761,83.92857143,NGA
NOR,Norway,31,69,8,50,34.50881612,55.13392857,NOR
PAK,Pakistan,55,14,50,70,49.87405542,0,PAK
PAN,Panama,95,11,44,86,NA,NA,PAN
PER,Peru,64,16,42,87,25.18891688,46.20535714,PER
PHI,Philippines,94,32,64,44,27.4559194,41.96428571,PHL
POL,Poland,68,60,64,93,37.78337531,29.24107143,POL
POR,Portugal,63,27,31,104,28.2115869,33.25892857,PRT
PUE,Puerto Rico,NA,NA,NA,NA,0,89.95535714,PRI
ROM,Romania,90,30,42,90,51.88916877,19.86607143,ROU
RUS,Russia,93,39,36,95,81.36020151,19.86607143,RUS
RWA,Rwanda,NA,NA,NA,NA,18.38790932,37.27678571,RWA
SAU,Saudi Arabia,NA,NA,NA,NA,35.5163728,52.23214286,SAU
SER,Serbia,86,25,43,92,52.14105793,28.125,SRB
SIN,Singapore,74,20,48,8,71.53652393,45.53571429,SGP
SLK,Slovak Rep,104,52,110,51,76.5743073,28.34821429,SVK
SLV,Slovenia,71,27,19,88,48.61460957,47.54464286,SVN
SAF,South Africa,NA,NA,NA,NA,34,63,ZAF
SAW,South Africa white,49,65,63,49,NA,NA,NA
SPA,Spain,57,51,42,86,47.6070529,43.52678571,ESP
SUR,Suriname,85,47,37,92,NA,NA,SUR
SWE,Sweden,31,71,5,29,52.89672544,77.67857143,SWE
SWI,Switzerland,34,68,70,58,73.55163728,66.07142857,CHE
SWF,Switzerland French,70,64,58,70,NA,NA,NA
SWG,Switzerland German,26,69,72,56,NA,NA,NA
TAI,Taiwan,58,17,45,69,92.94710327,49.10714286,TWN
TAN,Tanzania,NA,NA,NA,NA,34.00503778,38.39285714,TZA
THA,Thailand,64,20,34,64,31.73803526,45.08928571,THA
TRI,Trinidad and Tobago,47,16,58,55,12.59445844,80.13392857,TTO
TUR,Turkey,66,37,45,85,45.59193955,49.10714286,TUR
USA,U.S.A.,40,91,62,46,25.69269521,68.08035714,USA
UGA,Uganda,NA,NA,NA,NA,23.67758186,52.45535714,UGA
UKR,Ukraine,NA,NA,NA,NA,86.39798489,14.28571429,UKR
URU,Uruguay,61,36,38,100,26.19647355,53.34821429,URY
VEN,Venezuela,81,12,73,76,15.61712846,100,VEN
VIE,Vietnam,70,20,40,30,57.17884131,35.49107143,VNM
ZAM,Zambia,NA,NA,NA,NA,30.22670025,42.1875,ZMB
ZIM,Zimbabwe,NA,NA,NA,NA,15.36523929,27.67857143,ZWE